MQ2,MQ3,MQ5,MQ8,MQ135
45,103,28,72,551
54,94,11,77,548
45,88,16,74,547
46,90,10,74,550
50,88,12,73,550
48,90,14,72,550
49,91,18,76,553
52,90,10,69,546
49,88,13,79,564
44,92,12,72,546
59,77,11,82,565
51,103,21,73,546
41,95,6,68,553
64,90,18,70,541
62,80,19,65,547
65,85,17,81,548
59,76,5,69,548
52,86,10,81,546
48,88,18,73,550
45,93,15,75,552
50,90,10,72,549
50,94,14,71,548
41,88,15,78,553
44,88,13,70,547
47,90,15,77,547
45,90,16,76,544
48,89,14,73,547
48,92,11,74,547
54,90,14,76,545
48,91,16,67,542
60,80,15,71,547
61,84,4,76,548
53,91,13,78,546
52,89,15,79,554
42,91,11,76,548
52,92,10,75,554
55,93,12,76,548
49,83,16,72,546
48,88,13,74,549
47,87,13,76,553
50,105,29,77,552
48,105,27,76,554
50,93,6,86,562
49,90,22,66,553
60,76,10,75,558
58,80,12,66,545
53,101,8,89,556
54,88,8,85,560
54,92,22,78,554
47,81,15,77,550
43,88,16,76,549
50,87,12,74,551
52,92,13,75,545
50,89,14,74,547
48,94,17,74,552
42,91,12,75,566
45,95,26,74,548
38,97,20,79,564
57,77,10,66,553
41,99,15,81,550
39,102,16,66,546
60,81,13,80,547
59,92,19,70,553
43,103,5,67,552
53,97,12,69,554
53,95,13,78,549
52,85,14,79,554
49,95,15,74,553
48,89,15,79,555
48,92,17,75,549
47,93,15,78,549
45,93,16,73,548
46,89,12,76,551
48,91,19,76,552
46,88,18,76,552
50,90,13,77,551
51,92,13,77,552
45,95,14,78,549
46,90,12,76,557
45,85,10,71,545
58,95,11,77,549
51,93,15,75,552
51,88,18,75,551
51,89,13,72,555
48,88,11,79,548
55,90,11,78,549
50,95,14,80,550
45,93,13,79,548
57,96,18,86,566
42,91,27,78,549
45,98,20,70,546
54,83,18,68,557
37,99,27,74,551
44,102,25,93,546
59,80,5,81,563
49,87,15,69,548
54,89,10,75,548
49,95,18,77,548
55,93,13,75,548
53,95,14,73,548
50,81,13,73,551
47,87,16,74,547
57,91,14,78,553
47,90,13,76,553
51,91,13,80,550
45,93,12,75,549
48,91,15,77,550
51,94,16,75,551
49,85,15,73,549
45,89,13,79,553
45,90,14,74,547
65,87,19,89,555
43,106,28,88,560
59,87,20,76,564
39,100,29,66,551
46,106,29,74,552
62,86,4,83,570
52,95,16,75,551
49,87,11,76,551
51,92,16,80,550
47,91,12,76,553
50,90,20,79,554
43,89,10,75,547
51,94,13,74,554
45,88,16,76,556
52,90,14,77,551
52,91,13,78,548
51,93,10,77,544
48,91,13,71,546
42,103,25,72,540
60,107,30,70,551
49,91,11,94,563
60,80,3,86,546
42,96,13,76,560
51,91,10,84,570
58,95,13,70,553
58,87,18,73,545
52,96,12,77,551
54,89,17,76,556
48,91,14,78,554
48,92,13,74,548
44,89,10,78,556
55,96,10,76,554
50,93,11,78,559
48,89,17,75,549
49,94,15,77,552
43,92,14,76,546
48,93,16,75,551
47,90,10,80,546
44,108,10,89,563
58,85,18,82,554
55,79,18,70,551
56,86,14,77,550
48,92,13,76,555
42,94,14,75,548
54,91,13,82,556
47,91,13,76,554
46,92,15,77,554
49,91,12,79,549
48,91,15,69,550
66,96,10,66,545
39,97,18,80,550
